Player Name,Team,Salary,Age,Role,Matches,Runs,Average,Strike-Rate,Wickets,BA,Economy,BSR,Team Final Position
Sam Curran,Punjab Kings,1850,25,All rounder,14,276,27.6,135.96,10,48.9,10.22,28.7,8th
Cameron Green,Mumbai Indians,1750,24,All rounder,16,452,50.22,160.28,6,60.17,9.5,38,3rd
KL Rahul,Punjab Kings,1700,31,Wicket-keeper,9,274,34.25,113.22,0,0,0,0,4th
Ben Stokes,Chennai Super Kings,1625,32,All rounder,2,15,7.5,107.14,0,0,18,0,1st
Rishabh Pant,Delhi Capitals,1600,26,Wicket-keeper,14,340,30.91,151.79,0,0,0,0,5th
Andre Russell,Kolkata Knight Riders,1600,35,All rounder,14,227,20.64,145.51,7,24.57,11.34,13,7th
Rohit Sharma,Mumbai Indians,1600,36,Batter,16,332,20.75,132.8,0,0,0,0,3rd
Ravindra Jadeja,Chennai Super Kings,1600,35,All rounder,16,190,23.75,142.86,20,21.55,7.56,17.1,1st
Nicholas Pooran,Lucknow Super Giants,1600,28,Wicket-keepr,15,358,29.83,172.5,0,0,0,0,4th
Ishan Kishan,Mumbai Indians,1525,25,Wicket-keeper,16,454,30.27,142.77,0,0,0,0,3rd
Virat Kohli,Royal Challengers Bangalore,1500,35,Batter,14,639,53.25,139.82,0,0,0,0,6th
Rashid Khan,Gujarat Titans,1500,25,Bowler,17,130,32.25,216.67,27,20.44,8.24,14.89,2nd
Sanju Samson,Rajasthan Royals,1400,29,Wicket-keeper,14,362,30.17,137.19,0,0,0,0,5th
Deepak Chahar,Chennai Super Kings,1400,31,Bowler,10,1,0,50,13,22.85,8.74,21.22,2nd
Harry Brook,Sunrisers Hyderabad,1325,24,Batter,11,190,21.11,123.38,0,0,0,0,10th
Shreyas Iyer,Kolkata Knight Riders,1225,29,Batter,14,401,30.85,134.56,0,0,0,0,7th
Axar Patel,Delhi Capitals,1200,30,All rounder,14,283,28.3,139.41,11,30.73,7.19,25.31,9th
Jasprit Bumrah,Mumbai Indians,1200,30,Bowler,14,0,0,0,15,25.53,7.18,18.91,3rd
MS Dhoni,Chennai Super Kings,1200,42,Wicket-keeper,16,104,26,182.76,0,0,0,0,1st
Liam Livingstone,Punjab Kings,1150,30,All rounder,9,279,34.88,163.16,2,47,13.43,21,8th
Glenn Maxwell,Royal Challengers Bangalore,1100,35,All rounder,14,400,33.33,183.4,3,31.33,9.1,20.67,6th
Wanindu Hasaranga,Royal Challengers Bangalore,1075,26,All rounder,8,33,16.5,117.86,9,28.67,8.13,15.77,6th
Harshal Patel,Royal Challengers Bangalore,1075,33,All rounder,13,6,3,100,14,32.43,9.66,20.14,6th
Shardul Thakur,Kolkata Knight Riders,1075,32,All rounder,11,113,14.13,161.43,7,31.43,10.48,18,7th
Jos Buttler,Rajasthan Royals,1000,33,Wicket-keeper,14,392,28,139.1,0,0,0,0,5th
Mayank Agarwal,Sunrisers Hyderabad,825,32,Batter,10,270,27,128.57,0,0,0,0,10th
Shivam Mavi,Gujarat Titans,600,25,Bowler,6,3,1.5,42.86,5,45.4,10.32,26.4,2nd
Jason Holder,Rajasthan Royals,575,32,All rounder,8,12,6,109.09,4,71,9.96,42.75,5th
Mukesh Kumar,Delhi Capitals,550,28,Bowler,10,7,0,77.18,7,46.57,10.52,26.57,9th
